Round,Actual,Forecast
1,486.69326217519506,-0.3 
2,493.48816643294174,0.7
3,512.2406204061843,495.0
4,505.0384583503376,533.0

### --------------------------------------------- neeed to fix the Round guestimates its really .3 of 500 ) - 500 = her guess same with 0.7 she meant 500 * .7 + 500 = her guess - apply bedmas
